,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_B10,ST_ATRAN,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,QA_PIXEL,QA_RADSAT,date,longitude,latitude,cosVZA,cosSZA,cosRAA,QC
0,7710,7843,0.0294325,0.025224999999999997,0.15574,0.0929025,0.05148750000000002,130,41453,8608,464,449,9836,124,222,7925,861,21824,0,1521738008040,-95.193458197279,39.04301963967769,0.9996,0.7294,0,0
1,7752,7927,0.0327875,0.03281500000000001,0.15637250000000003,0.11473749999999999,0.06592500000000001,160,41420,8608,464,449,9830,124,222,7908,861,21824,0,1521738008040,-95.19311178851369,39.04302615670592,0.9996,0.7294,0,0
2,7651,7844,0.030037499999999995,0.026187500000000002,0.16113,0.09350750000000002,0.04950750000000001,160,41440,8608,467,449,9839,124,222,7922,861,21824,0,1521738008040,-95.19346655497225,39.04328977982397,0.9996,0.7294,0,0
3,7879,8060,0.03534499999999999,0.036885,0.15672999999999998,0.11949500000000002,0.07125999999999999,96,41452,8608,467,449,9828,124,222,7919,861,21824,0,1521738008040,-95.19312014488959,39.04329629691462,0.9996,0.7294,0,0
4,7691,7867,0.033695,0.0323475,0.16531,0.10943000000000003,0.06045250000000002,96,41450,8609,467,449,9831,79,214,7920,860,21824,0,1521738008040,-95.1927737346947,39.04330281297735,0.9996,0.7294,0,0
5,7723,7901,0.03193499999999999,0.028827500000000006,0.1708925,0.09631250000000002,0.053027500000000005,96,41555,8608,470,449,9841,124,222,7967,861,21824,0,1521738008040,-95.19347491277773,39.04355991995622,0.9996,0.7294,0,0
6,7897,8074,0.03672,0.03798499999999999,0.159095,0.12557249999999998,0.07535750000000002,96,41573,8608,470,449,9829,124,222,7966,861,21824,0,1521738008040,-95.19312850137773,39.04356643710927,0.9996,0.7294,0,0
7,7880,8401,0.060287499999999994,0.064,0.187365,0.138965,0.09523999999999999,224,36115,9468,30,150,9814,124,503,5958,257,21824,0,1523120400385,-95.193458197279,39.04301963967769,0.9996,0.7977000000000001,0,0
8,7871,8450,0.0628725,0.0682625,0.187365,0.1539525,0.10516750000000002,224,36072,9468,27,150,9811,124,517,5941,257,21824,0,1523120400385,-95.19311178851369,39.04302615670592,0.9996,0.7977000000000001,0,0
9,7858,8355,0.061415,0.06427499999999997,0.18896000000000002,0.14245750000000001,0.097385,194,36124,9468,28,150,9814,124,508,5961,257,21824,0,1523120400385,-95.19346655497225,39.04328977982397,0.9996,0.7977000000000001,0,0
10,7976,8490,0.06273499999999999,0.0682625,0.1871175,0.1525225,0.10448000000000002,224,36091,9468,26,150,9811,124,522,5947,257,21824,0,1523120400385,-95.19312014488959,39.04329629691462,0.9996,0.7977000000000001,0,0
11,7849,8366,0.06229499999999999,0.06639250000000002,0.18978499999999998,0.146115,0.09997,224,36077,9468,23,150,9804,79,534,5939,257,21824,0,1523120400385,-95.1927737346947,39.04330281297735,0.9996,0.7977000000000001,0,0
12,7789,8358,0.060755,0.06312000000000001,0.19660500000000003,0.14003749999999998,0.09534999999999999,224,36180,9468,28,150,9817,124,512,5982,257,21824,0,1523120400385,-95.19347491277773,39.04355991995622,0.9996,0.7977000000000001,0,0
