,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_B10,ST_ATRAN,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,QA_PIXEL,QA_RADSAT,date,longitude,latitude,cosVZA,cosSZA,cosRAA,partition,ID,PLOT_ID,Date
1,0.009137499999999993,0.012465000000000004,0.033172499999999994,0.0203025,0.248965,0.0982925,0.0398,96.0,45491.0,7077.0,689.0,1140.0,9858.0,124.0,231.0,9601.0,2426.0,21824.0,0.0,1662742872619.0,-95.19311178851369,39.04302615670592,0.9996,0.7868,0.0,1.0,2,UKFS_051,9/9/2022
2,0.008587499999999998,0.012740000000000001,0.03419,0.020962499999999995,0.1983375,0.09105999999999997,0.0416975,96.0,45551.0,7077.0,689.0,1140.0,9848.0,124.0,231.0,9615.0,2426.0,21824.0,0.0,1662742872619.0,-95.19346655497225,39.04328977982397,0.9996,0.7868,0.0,1.0,2,UKFS_051,9/9/2022
3,0.009385000000000004,0.013482500000000008,0.03460250000000001,0.02162249999999999,0.28567750000000003,0.10918250000000002,0.04425499999999999,66.0,45511.0,7077.0,691.0,1140.0,9862.0,124.0,231.0,9610.0,2426.0,21824.0,0.0,1662742872619.0,-95.19312014488959,39.04329629691462,0.9996,0.7868,0.0,1.0,2,UKFS_051,9/9/2022
4,0.009495000000000003,0.013069999999999998,0.0352075,0.021842499999999987,0.255785,0.10943000000000003,0.04681250000000001,96.0,45512.0,7079.0,693.0,1140.0,9854.0,79.0,223.0,9606.0,2425.0,21824.0,0.0,1662742872619.0,-95.1927737346947,39.04330281297735,0.9996,0.7868,0.0,1.0,2,UKFS_051,9/9/2022
5,0.008614999999999984,0.013289999999999996,0.034684999999999994,0.02167749999999999,0.21373750000000002,0.09139000000000003,0.04106499999999999,96.0,45608.0,7077.0,692.0,1140.0,9851.0,124.0,231.0,9637.0,2426.0,21824.0,0.0,1662742872619.0,-95.19347491277773,39.04355991995622,0.9996,0.7868,0.0,5.0,2,UKFS_051,9/9/2022
6,0.010017499999999985,0.014114999999999989,0.03432750000000001,0.021072499999999994,0.27806000000000003,0.10907250000000002,0.04419999999999999,96.0,45577.0,7077.0,694.0,1140.0,9861.0,124.0,231.0,9633.0,2426.0,21824.0,0.0,1662742872619.0,-95.19312850137773,39.04356643710927,0.9996,0.7868,0.0,5.0,2,UKFS_051,9/9/2022
0,0.0293225,0.040075,0.059545000000000015,0.06279000000000001,0.158985,0.1916,0.12601250000000003,194.0,44592.0,9002.0,965.0,346.0,9695.0,95.0,212.0,9216.0,639.0,21824.0,0.0,1630692434831.0,-110.54498560271263,44.95525041166066,0.9998,0.7548,0.5144000000000001,10.0,7,YELL_057,9/9/2021
1,0.027865,0.03751750000000001,0.05784,0.05731750000000002,0.17152499999999998,0.17268,0.1082475,224.0,44459.0,9002.0,964.0,346.0,9695.0,95.0,212.0,9159.0,639.0,21824.0,0.0,1630692434831.0,-110.54460527391159,44.95524889570978,0.9998,0.7548,0.514,10.0,7,YELL_057,9/9/2021
2,0.031082499999999985,0.040982500000000005,0.06083749999999999,0.06224000000000002,0.182195,0.19809,0.12689250000000002,224.0,44344.0,9002.0,962.0,346.0,9695.0,95.0,212.0,9110.0,639.0,21824.0,0.0,1630692434831.0,-110.54422494514064,44.95524737849238,0.9998,0.7548,0.5135000000000001,10.0,7,YELL_057,9/9/2021
3,0.036775,0.04851749999999999,0.0693625,0.07684249999999998,0.1761725,0.24041250000000003,0.1652,224.0,44704.0,9001.0,963.0,347.0,9695.0,95.0,212.0,9264.0,640.0,21824.0,0.0,1630692434831.0,-110.54498346858928,44.95552046306232,0.9998,0.7548,0.5146000000000001,10.0,7,YELL_057,9/9/2021
4,0.03534499999999999,0.046152499999999985,0.06884000000000001,0.07480749999999997,0.18428499999999998,0.23683749999999998,0.15840749999999998,224.0,44569.0,9001.0,961.0,347.0,9695.0,95.0,213.0,9206.0,640.0,21824.0,0.0,1630692434831.0,-110.54460313800455,44.955518947097254,0.9998,0.7548,0.5141,10.0,7,YELL_057,9/9/2021
5,0.038644999999999985,0.049287499999999984,0.0695,0.07574249999999999,0.18571500000000002,0.2457475,0.16800500000000002,224.0,44446.0,9002.0,960.0,346.0,9695.0,95.0,213.0,9153.0,639.0,21824.0,0.0,1630692434831.0,-110.54422280744993,44.95551742986565,0.9998,0.7548,0.5137,10.0,7,YELL_057,9/9/2021
0,0.009137499999999993,0.01400499999999999,0.03636249999999999,0.021595000000000003,0.1859075,0.08918999999999999,0.04100999999999999,96.0,44590.0,6400.0,458.0,1368.0,9845.0,124.0,258.0,9200.0,3001.0,21824.0,0.0,1630947652217.0,-95.193458197279,39.04301963967769,0.9997,0.7953,0.0,1.0,8,UKFS_051,9/9/2021
1,0.009385000000000004,0.013564999999999994,0.033695,0.019779999999999992,0.24016500000000002,0.09909000000000001,0.040295,96.0,44584.0,6402.0,459.0,1367.0,9857.0,124.0,258.0,9204.0,2999.0,21824.0,0.0,1630947652217.0,-95.19311178851369,39.04302615670592,0.9997,0.7953,0.0,1.0,8,UKFS_051,9/9/2021
2,0.0084225,0.013124999999999998,0.03600500000000001,0.021100000000000008,0.2084025,0.0960375,0.04367750000000001,130.0,44596.0,6402.0,460.0,1367.0,9850.0,124.0,258.0,9204.0,2999.0,21824.0,0.0,1630947652217.0,-95.19346655497225,39.04328977982397,0.9997,0.7953,0.0,1.0,8,UKFS_051,9/9/2021
3,0.009550000000000003,0.013097499999999984,0.037077499999999985,0.021292499999999992,0.27641,0.122025,0.047087500000000004,160.0,44581.0,6402.0,462.0,1367.0,9860.0,124.0,258.0,9205.0,2999.0,21824.0,0.0,1630947652217.0,-95.19312014488959,39.04329629691462,0.9997,0.7953,0.0,1.0,8,UKFS_051,9/9/2021
